r_km,m_msun,epsilon_MeVfm3,p_r_MeVfm3,p_t_MeVfm3,sigma_MeVfm3,anisotropy_ratio_sigma_pr,f_metric,compactness_2m_r,NEC_r,NEC_t,SEC,DEC_r,DEC_t,phi_raw,Phi,gtt_minus
0.025,7.041088873380623e-08,1200.0,309.1575452469908,309.15814906442466,0.000603817433905901,1.9531059266999343e-06,0.999991682109975,8.317890024955159e-06,1.997873033818032e-09,1.997873833171666e-09,2.816420747602046e-09,1.1793269187412863e-09,1.179326119387652e-09,0.0,-0.8575476217954598,-0.17994658113834647
0.05,5.632764615039178e-07,1199.9552081966071,309.1426146458599,309.1450297281977,0.0024150823377669614,7.812194836139214e-06,0.999966729068865,3.327093113501597e-05,1.997793971309357e-09,1.997797168475811e-09,2.8163069494646727e-09,1.179287387486949e-09,1.1792841903204952e-09,1.1093820028420798e-05,-0.8575365279754315,-0.17995057377261162
0.075,1.9009887197522315e-06,1199.8807754888749,309.1178037432825,309.1232369771462,0.005433233863604846,1.7576580183382324e-05,0.9999251431353212,7.485686467878882e-05,1.99766258931187e-09,1.9976697820078594e-09,2.816117867527513e-09,1.1792216964882052e-09,1.1792145037922162e-09,2.9535620990951502e-05,-0.8575180861744689,-0.17995721112034474
0.1,4.505813878386158e-06,1199.776617640135,309.0830844603692,309.0927417977996,0.009657337430413034,3.124511795032026e-05,0.999866928024247,0.00013307197575301342,1.9974787391384953e-09,1.9974915238435063e-09,2.815853276285494e-09,1.1791297714015182e-09,1.1791169866965076e-09,5.534515263286426e-05,-0.857492276642827,-0.17996650058276856
0.125,8.79982962667859e-06,1199.6427282191178,309.03845465336343,309.0535407385308,0.0150860851673597,4.88162069807176e-05,0.9997920889328644,0.00020791106713559008,1.9972424094373263e-09,1.9972623808994423e-09,2.8155131552479507e-09,1.1790116065509335e-09,1.1789916350888177e-09,8.852543698756695e-05,-0.8574590963584723,-0.17997844365836613
0.15,1.5204862355155694e-05,1199.4791147050623,308.98391681534497,309.00563461183316,0.021717796488251045,7.028778944902183e-05,0.9997006325413841,0.0002993674586159164,1.9969536134100512e-09,1.9969823641525398e-09,2.815097519767783e-09,1.178867208537296e-09,1.1788384577948076e-09,0.00012907688056882076,-0.857418544914891,-0.17999304102171002
0.175,2.414242443628365e-05,1199.2857900168297,308.9194752526007,308.9490256714186,0.029550418817904402,9.5657351462679e-05,0.9995925670121929,0.00040743298780714435,1.996612373859895e-09,1.996651493688756e-09,2.814606398615294e-09,1.178696588762218e-09,1.178657468933357e-09,0.00017699914500727794,-0.8573706226504526,-0.1800102931966779
0.2,3.603365157468644e-05,1199.0627706335686,308.8451354581804,308.88371698665736,0.03858152847697444,0.00012492192379762648,0.999467901988624,0.0005320980113759883,1.996218719874386e-09,1.996269795387072e-09,2.8140398290046807e-09,1.1784997617694634e-09,1.1784486862567773e-09,0.000232291561703701,-0.8573153302337562,-0.18003020070567408
0.225,5.129924024105839e-05,1198.8100760360912,308.7609039256879,308.80971225741376,0.04880833172584327,0.00015807808276656162,0.9993266485934488,0.0006733514065512344,1.99577268583932e-09,1.9958372999348384e-09,2.8133978551177466e-09,1.1782767447519305e-09,1.1782121306564123e-09,0.0002949532546803309,-0.8572526685407795,-0.18005276411383217
0.25,7.035938520373277e-05,1198.5277285046827,308.6667880818851,308.72701574785225,0.060227665967197086,0.00019512195121951223,0.9991688194271192,0.0008311805728807904,1.995274311081878e-09,1.9953540424724837e-09,2.812680527571758e-09,1.1780275573732094e-09,1.1779478259826035e-09,0.00036498318461636943,-0.8571826386108434,-0.18007798404485234
0.275,9.36337171718093e-05,1198.2157530340835,308.56279625835197,308.63563225945865,0.07283600110662321,0.00023604919967616393,0.9989944285657716,0.0010055714342284223,1.9947236397205515e-09,1.9948200624452437e-09,2.8118879031979407e-09,1.1777522216925463e-09,1.1776557989678543e-09,0.00044238016691636813,-0.8571052416285435,-0.18010586118749083
0.3,0.00012154124056370734,1197.8741772928072,308.44893767792655,308.535567118997,0.08662944107041161,0.00028085504758932755,0.9988034915589932,0.0011965084410068708,1.9941207205933412e-09,1.9942354035333662e-09,2.811020044937791e-09,1.177450762128941e-09,1.1773360791889164e-09,0.0005271428799005831,-0.8570204789155592,-0.18013639629849382
0.325,0.00015450027141497886,1197.5030316010645,308.32522244734565,308.4268261728253,0.10160372547963115,0.0003295342647388588,0.9985960254273543,0.0014039745726457805,1.9934656072187874e-09,1.9936001136153596e-09,2.8100770217890554e-09,1.177123205441664e-09,1.1769886990450916e-09,0.0006192698688010833,-0.8569283519266587,-0.18016959020401918
0.35,0.00019292837543918216,1197.1023489171048,308.19166155269244,308.30941578417185,0.11775423147944895,0.00038208117275527313,0.9983720486597065,0.0016279513402934886,1.992758357771861e-09,1.9929142447463067e-09,2.8090589087744125e-09,1.176769580718201e-09,1.1766136937437552e-09,0.0007187595478138789,-0.856828862247646,-0.1802054438003582
0.375,0.00023724230625557957,1196.6721648275645,308.048266856179,308.1833428319015,0.13507597572256325,0.00043848964677222906,0.998131581210248,0.0018684187897519322,1.9919990350669277e-09,1.9921778531434515e-09,2.807965786921169e-09,1.1763899193657342e-09,1.1762111012892102e-09,0.0008256102011823543,-0.8567220115942775,-0.18024395805430607
0.4,0.0002878579437973833,1196.2125175397593,307.8950510935773,308.0486147100828,0.15356361650552486,0.0004987531172069826,0.997874644495356,0.002125355504644016,1.9911877065441452e-09,1.991390999175427e-09,2.8067977432465107e-09,1.175984255104343e-09,1.1757809624730614e-09,0.000939819983767082,-0.8566078018116927,-0.18028513400334645
0.425,0.0003451902329142311,1195.7234478749017,307.73202787195805,307.9052393280146,0.173211456056629,0.0005628645716678516,0.9976012613901872,0.0023987386098127932,1.9903244442574876e-09,1.9905537473533065e-09,2.8055548707455988e-09,1.1755526239610144e-09,1.1753233208651953e-09,0.0010613869213278394,-0.856486234874132,-0.18032897275573037
0.45,0.0004096531221825258,1195.2049992617044,307.55921166755894,307.7532251105329,0.19401344297396733,0.0006308165569876563,0.9973114562250482,0.002688543774951796,1.989409324863457e-09,1.9896661663225456e-09,2.8042372683810924e-09,1.1750950642639991e-09,1.1748382228049105e-09,0.001190308910635885,-0.856357312884824,-0.1803754754904929
0.475,0.00048165950293722605,1194.6572177300852,307.37661782368593,307.59258099849814,0.21596317481213817,0.0007026011813820418,0.9970052547815341,0.0029947452184658253,1.9884424296099716e-09,1.9887283288552914e-09,2.802845041073327e-09,1.1746116166372562e-09,1.1743257173919363e-09,0.0013265837194810478,-0.8562210380759788,-0.18042464345742948
0.5,0.0005616211485386196,1194.0801519048025,307.1842625485917,307.4233164494077,0.2390539008160247,0.0007782101167315176,0.9966826842884385,0.0033173157115614746,1.987423844325132e-09,1.98774031184277e-09,2.8013782996907043e-09,1.1741023239948364e-09,1.1737858564771981e-09,0.001470208986610339,-0.8560774128088495,-0.18047647797704633
0.525,0.0006499486538875576,1193.473852998922,306.98216291329817,307.24544143809817,0.26327852479996205,0.000857634600985988,0.9963437734174334,0.003656226582566626,1.9863536594056873e-09,1.9867021962875642e-09,2.799837161040014e-09,1.1735672315351142e-09,1.1732186946532375e-09,0.0016211822216197008,-0.8559264395738402,-0.18053098044049204
0.55,0.0007470513752025668,1192.8383748070632,306.77033684934526,307.0589664575158,0.2886296081705282,0.0009408654406904863,0.9959885522785219,0.0040114477214781095,1.985231969805117e-09,1.9856140672956946e-09,2.798221747856561e-09,1.173006386734829e-09,1.172624289244251e-09,0.0017795008048120155,-0.8557681209906478,-0.180588152309475
0.575,0.0008533373700721962,1192.173773698382,306.5488031464515,306.86390251954265,0.31509937309110725,0.0010278930136307554,0.9956170524152633,0.004382947584736687,1.9840588750212436e-09,1.9844760140684254e-09,2.7965321887939584e-09,1.1724198393428921e-09,1.1720027002957102e-09,0.0019451619870295787,-0.8556024598084303,-0.1806479951161698
0.6,0.0009692133377958861,1191.4801086092682,306.31758145008024,306.6602611558665,0.3426797057862924,0.0011187072715972655,0.9952293067997715,0.004770693200228465,1.9828344790833407e-09,1.983288129893744e-09,2.794768618413547e-09,1.1718076413739407e-09,1.1713539905635378e-09,0.0021181628894662995,-0.8554294589059935,-0.18071051046311454
0.625,0.001095084560026581,1190.7574410357445,306.07669225890567,306.44805441888974,0.37136215998411265,0.0012132977432661974,0.9948253498274882,0.005174650172511811,1.981558890538721e-09,1.982050512137506e-09,2.792931177173381e-09,1.1711698471016308e-09,1.170678225502846e-09,0.002298500503463091,-0.8552491212919967,-0.1807757000230997
0.65,0.0012313548417282342,1190.0058350255524,305.82615692217496,306.22729488266896,0.4011379604939856,0.0013116535371958556,0.9944052173117311,0.005594782688268803,1.9802322224387624e-09,1.9807632622342005e-09,2.791020011416749e-09,1.1705065130516516e-09,1.1699754732562137e-09,0.0024861716902887855,-0.8550614501051711,-0.18084356553904998
0.675,0.0013784264524612775,1189.2253571699252,305.5659976369659,305.9979956438841,0.43199800691822504,0.0014137633449369238,0.9939689464780198,0.00603105352198019,1.978854592324389e-09,1.979426485677342e-09,2.789035273360218e-09,1.1698176979944651e-09,1.1692458046415124e-09,0.002681173180908192,-0.8548664486145516,-0.18091410882389966
0.7,0.0015367000680090452,1188.416076595035,305.29623744533586,305.7601703228307,0.4639328774948506,0.0015196154442549234,0.9935165759581772,0.0064834240418228046,1.9774261222109735e-09,1.9780402920094597e-09,2.7869771210811625e-09,1.1691034629377573e-09,1.1684892931392709e-09,0.00288350157573844,-0.8546641202197214,-0.18098733176046067
0.725,0.0017065747123580705,1187.5780649531187,305.0169002313637,305.5138330644331,0.4969328330693754,0.001629197702463169,0.9930481457842116,0.006951854215788338,1.975946938572673e-09,1.9766047948116947e-09,2.7848457185047833e-09,1.1683638711186068e-09,1.1677060148795847e-09,0.003093153344394449,-0.8544544684510654,-0.1810632363012856
0.75,0.0018884477000450735,1186.7113964132732,304.7280107180819,305.2589985392751,0.5309878211931729,0.0017424975798644726,0.9925636973819777,0.007436302618022313,1.9744171723261827e-09,1.975120111692976e-09,2.782641235390591e-09,1.1675989879953615e-09,1.166896048628568e-09,0.0033101248254241455,-0.8542374969700357,-0.18114182446852406
0.775,0.002082714578883377,1185.8161476519251,304.4295944642992,304.9956819446452,0.5660874803459555,0.001859502133299794,0.9920632735646179,0.00793672643538208,1.972836958813914e-09,1.973586364278789e-09,2.7803638473183504e-09,1.1668088812392274e-09,1.1660594757743526e-09,0.0035344122260339166,-0.854013209569426,-0.1812230983537732
