eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
400.0,80,50,272.5273642590275,-0.2,8.0,0.9052714226132508,9.15,0.2921938517883521,-1.9531059266999343e-06,True,True,True,366,ok
450.0,80,50,272.5273642590275,-0.2,8.0,1.10885836064335,9.65,0.33936114669659306,-1.9531059266999343e-06,True,True,True,386,ok
500.0,80,50,272.5273642590275,-0.2,8.0,1.2618595653241402,9.95,0.3745426682321182,-1.9531059266999348e-06,True,True,True,398,ok
550.0,80,50,272.5273642590275,-0.2,8.0,1.3752908394318122,10.125,0.4011556146063986,-1.9531059266999348e-06,True,True,True,405,ok
600.0,80,50,272.5273642590275,-0.2,8.0,1.460790469377703,10.225,0.42192763052920595,-1.9531059266999348e-06,True,True,True,409,ok
650.0,80,50,272.5273642590275,-0.2,8.0,1.5252925724427715,10.275,0.4384142699142905,-1.9531059266999348e-06,True,True,True,411,ok
700.0,80,50,272.5273642590275,-0.2,8.0,1.576914174457065,10.3,0.452151721705197,-1.9531059266999348e-06,True,True,True,412,ok
750.0,80,50,272.5273642590275,-0.2,8.0,1.6228517740030404,10.325,0.4641968092416733,-1.9531059266999343e-06,True,True,True,413,ok
800.0,80,50,272.5273642590275,-0.2,8.0,1.6513063410152382,10.3,0.47348233483272445,-1.9531059266999343e-06,True,True,True,412,ok
850.0,80,50,272.5273642590275,-0.2,8.0,1.6817916732819935,10.3,0.4822234544792101,-1.9531059266999343e-06,True,True,True,412,ok
900.0,80,50,272.5273642590275,-0.2,8.0,1.702490648766109,10.275,0.4893462462872544,-1.9531059266999348e-06,True,True,True,411,ok
950.0,80,50,272.5273642590275,-0.2,8.0,1.7138493141808728,10.225,0.49501991926637473,-1.9531059266999348e-06,True,True,True,409,ok
1000.0,80,50,272.5273642590275,-0.2,8.0,1.7296317615418682,10.2,0.5008029017485596,-1.9531059266999343e-06,True,True,True,408,ok
1050.0,80,50,272.5273642590275,-0.2,8.0,1.7433537784566908,10.175,0.5060162526576159,-1.9531059266999343e-06,True,True,True,407,ok
1100.0,80,50,272.5273642590275,-0.2,8.0,1.747348736125952,10.125,0.5096803789240059,-1.9531059266999348e-06,True,True,True,405,ok
1150.0,80,50,272.5273642590275,-0.2,8.0,1.7576576383896483,10.1,0.5139563884798823,-1.9531059266999348e-06,True,True,True,404,ok
1200.0,80,50,272.5273642590275,-0.2,8.0,1.7587274130465715,10.05,0.5168277543553275,-1.9531059266999343e-06,True,True,True,402,ok
1250.0,80,50,272.5273642590275,-0.2,8.0,1.766323488590564,10.025,0.5203543860672588,-1.9531059266999348e-06,True,True,True,401,ok
1300.0,80,50,272.5273642590275,-0.2,8.0,1.765080650969726,9.975,0.5225947066699883,-1.9531059266999348e-06,True,True,True,399,ok
1350.0,80,50,272.5273642590275,-0.2,8.0,1.7704999609097434,9.95,0.5255163075882024,-1.9531059266999343e-06,True,True,True,398,ok
1400.0,80,50,272.5273642590275,-0.2,8.0,1.7674140049963896,9.9,0.5272498369063015,-1.9531059266999348e-06,True,True,True,396,ok
1450.0,80,50,272.5273642590275,-0.2,8.0,1.7710717185190743,9.875,0.5296785675713669,-1.9531059266999348e-06,True,True,True,395,ok
1500.0,80,50,272.5273642590275,-0.2,8.0,1.7727085582517699,9.85,0.5315137053819239,-1.9531059266999348e-06,True,True,True,394,ok
1550.0,80,50,272.5273642590275,-0.2,8.0,1.7687276218858492,9.8,0.5330258103943849,-1.9531059266999348e-06,True,True,True,392,ok
1600.0,80,50,272.5273642590275,-0.2,8.0,1.7703056364648255,9.775,0.5348658163137125,-1.9531059266999348e-06,True,True,True,391,ok
1650.0,80,50,272.5273642590275,-0.2,8.0,1.7700833088255374,9.75,0.5361699226147393,-1.9531059266999348e-06,True,True,True,390,ok
1700.0,80,50,272.5273642590275,-0.2,8.0,1.7645170932890228,9.7,0.5372389507155306,-1.9531059266999343e-06,True,True,True,388,ok
1750.0,80,50,272.5273642590275,-0.2,8.0,1.7645374959696265,9.675,0.5386333930729482,-1.9531059266999343e-06,True,True,True,387,ok
1800.0,80,50,272.5273642590275,-0.2,8.0,1.7629217061714766,9.65,0.5395343111229798,-1.9531059266999348e-06,True,True,True,386,ok
1850.0,80,50,272.5273642590275,-0.2,8.0,1.7561813366807075,9.6,0.5402707816322901,-1.9531059266999343e-06,True,True,True,384,ok
1900.0,80,50,272.5273642590275,-0.2,8.0,1.755020485513587,9.575,0.541323354172471,-1.9531059266999348e-06,True,True,True,383,ok
1950.0,80,50,272.5273642590275,-0.2,8.0,1.7535169610820112,9.55,0.5422754657890825,-1.9531059266999348e-06,True,True,True,382,ok
2000.0,80,50,272.5273642590275,-0.2,8.0,1.7516989427617138,9.525,0.5431350628013737,-1.9531059266999348e-06,True,True,True,381,ok
2050.0,80,50,272.5273642590275,-0.2,8.0,1.7495920246245606,9.5,0.5439093714604041,-1.9531059266999343e-06,True,True,True,380,ok
