eps_c_MeVfm3,p_c_MeVfm3,B_MeVfm3,Delta_MeV,mu_ref_MeV,epsilon_surface_MeVfm3,pair_pressure_MeVfm3,M_msun,R_km,compactness_2M_R,max_compactness_inside,surface_f_metric,n_steps,status
350.0,23.333333333333332,70,0,400.0,280.0,0.0,0.5872241134482509,8.0,0.21678401254325347,0.21678401254325347,0.7832159874567466,320,ok
400.0,40.0,70,0,400.0,280.0,0.0,0.9192605329284707,9.125,0.29752200923588373,0.29752200923588373,0.7024779907641163,365,ok
450.0,56.666666666666664,70,0,400.0,280.0,0.0,1.1472422052177302,9.675,0.35020109410219896,0.35020109410219885,0.6497989058978011,387,ok
500.0,73.33333333333333,70,0,400.0,280.0,0.0,1.317291415737715,10.0,0.3890408615756827,0.38904086157568263,0.6109591384243174,400,ok
550.0,90.0,70,0,400.0,280.0,0.0,1.4380145305785368,10.175,0.41739016659872313,0.41739016659872313,0.5826098334012768,407,ok
600.0,106.66666666666666,70,0,400.0,280.0,0.0,1.5274941023236341,10.275,0.43904705481920026,0.43904705481920026,0.5609529451807997,411,ok
650.0,123.33333333333333,70,0,400.0,280.0,0.0,1.5958161522069803,10.325,0.45646360182579243,0.4564636018257924,0.5435363981742076,413,ok
700.0,140.0,70,0,400.0,280.0,0.0,1.6431566161920834,10.325,0.4700047598550926,0.4700047598550925,0.5299952401449075,413,ok
750.0,156.66666666666666,70,0,400.0,280.0,0.0,1.6841084335456005,10.325,0.4817185240156109,0.4817185240156109,0.5182814759843891,413,ok
800.0,173.33333333333331,70,0,400.0,280.0,0.0,1.7192927535449776,10.325,0.4917825664258194,0.4917825664258195,0.5082174335741805,413,ok
850.0,190.0,70,0,400.0,280.0,0.0,1.7436815895643083,10.3,0.49996927264516955,0.49996927264516955,0.5000307273548305,412,ok
900.0,206.66666666666666,70,0,400.0,280.0,0.0,1.7578574591701717,10.25,0.5064926499733939,0.5064926499733939,0.49350735002660606,410,ok
950.0,223.33333333333331,70,0,400.0,280.0,0.0,1.7761281329746168,10.225,0.513008231071966,0.513008231071966,0.486991768928034,409,ok
1000.0,240.0,70,0,400.0,280.0,0.0,1.7836871519190367,10.175,0.5177231951891104,0.5177231951891104,0.48227680481088964,407,ok
