r_km,m_msun,epsilon_MeVfm3,p_MeVfm3,phi_raw,f_metric,compactness_2m_r,Phi,gtt_minus
0.025,7.041088873380623e-08,1200.0,309.1575452469908,0.0,0.999991682109975,8.317890024955159e-06,-0.8098409560344298,-0.19796165828413162
0.05,5.632752259694186e-07,1199.949774266032,309.1408033356681,1.1093800115094255e-05,0.999966729141844,3.327085815596208e-05,-0.8098298622343147,-0.19796605062699413
0.075,1.9009760467534536e-06,1199.8662869204823,309.11297422048494,2.95354688702937e-05,0.9999251436343568,7.48563656432371e-05,-0.8098114205655595,-0.19797335241031125
0.1,4.505755343242152e-06,1199.7494566145908,309.0740307851878,5.534460483460438e-05,0.9998669297529884,0.0001330702470115531,-0.8097856114295953,-0.19798357171639977
0.125,8.79964365286898e-06,1199.5992809549623,309.0239722319783,8.852401907579033e-05,0.9997920933268146,0.0002079066731853824,-0.8097524320153541,-0.197996710110197
0.15,1.5204389670622357e-05,1199.4157726088151,308.96280278326253,0.00012907384703581784,0.9997006418480364,0.0002993581519635991,-0.809711882187394,-0.19801276822640532
0.175,2.4141389939453843e-05,1199.1989508312226,308.89052885739835,0.00017699341917169168,0.9995925844705942,0.00040741552940584094,-0.8096639626152582,-0.19803174651008368
0.2,3.6031618640595885e-05,1198.9488395832082,308.80715844139354,0.00023228167566177233,0.9994679320083456,0.0005320679916544343,-0.809608674358768,-0.19805364538080025
0.225,5.1295557503976255e-05,1198.665466970019,308.7127009036638,0.0002949372893302312,0.9993266969328819,0.0006733030671180857,-0.8095460187450996,-0.19807846528125508
0.25,7.035312585868537e-05,1198.3488650353372,308.60716692543656,0.00036495870976990265,0.9991688933710001,0.0008311066289998525,-0.8094759973246599,-0.19810620669469792
0.275,9.362361084336064e-05,1197.9990696721811,308.4905684710512,0.0004423441815107617,0.9989945371018364,0.0010054628981636387,-0.8093986118529191,-0.19813687015206255
0.3,0.00012152559779627915,1197.6161205776643,308.36291877287897,0.0005270917523225529,0.9988036455536634,0.0011963544463365703,-0.8093138642821073,-0.19817045623518836
0.325,0.0001544769008448737,1197.2000612258894,308.22423232228726,0.0006191992773351392,0.9985962378003544,0.001403762199645556,-0.8092217567570947,-0.19820696557837922
0.35,0.00019289449371430754,1196.7509388487892,308.0745248632539,0.0007186644212267332,0.9983723345575134,0.0016276654424866185,-0.8091222916132031,-0.19824639886919027
0.375,0.0002371944407746546,1196.2688044205104,307.913813387161,0.00082548465945523,0.9981319581782744,0.0018680418217256458,-0.8090154713749746,-0.19828875684882893
0.4,0.00028779182834613503,1195.7537126432783,307.7421161280836,0.0009396572789876776,0.9978751326487708,0.002124867351229179,-0.8089012987554421,-0.19833404031235036
0.425,0.00034510069628175484,1195.2057219337264,307.559452558233,0.0010611793787536677,0.9976018835832762,0.0023981164167237823,-0.8087797766556761,-0.1983822501087364
0.45,0.00040953396984658554,1194.6248944091612,307.3658433833779,0.0011900478699406723,0.9973122382190175,0.0026877617809824682,-0.8086509081644891,-0.19843338714090508
0.475,0.00048150339191280124,1194.0112958734742,307.1613105381489,0.0013262594761958451,0.9970062254106634,0.0029937745893365442,-0.808514696558234,-0.19848745236567603
0.5,0.0005614194554894657,1193.364995802538,306.94587718117015,0.0014698107337709665,0.9966838756244888,0.0033161243755111636,-0.8083711453006589,-0.1985444467937063
0.525,0.0006496913366059264,1192.686067328996,306.7195676899895,0.00162069799163211,0.9963452209322172,0.0036547790677827637,-0.8082202580427977,-0.1986043714894051
0.55,0.0007467268275675346,1191.9745872263907,306.4824076557877,0.001778917411547119,0.9959902950045435,0.004009704995456478,-0.8080620386228827,-0.1986672275708326
0.575,0.0008529322706022566,1191.2306358925955,306.234423877856,0.001944464968159063,0.9956191331043385,0.004380866895661509,-0.8078964910662708,-0.19873301620958644
0.6,0.0009687124919165917,1190.4542973325392,305.9756443578372,0.002117336449050893,0.9952317720795376,0.004768227920462355,-0.807723619585379,-0.19880173863067707
0.625,0.0010944707361790456,1189.6456591402036,305.70609829372535,0.0022975274548047205,0.9948282503557163,0.005171749644283687,-0.8075434285796251,-0.19887339611239416
0.65,0.0012306086014492385,1188.8048124799006,305.4258160736244,0.0024850333990580186,0.9944086079283534,0.005591392071646584,-0.8073559226353718,-0.19894798998616453
0.675,0.0013775259745705513,1187.9318520668176,305.1348292692633,0.0026798495085583064,0.9939728863547863,0.0060271136452137285,-0.8071611065258716,-0.19902552163640214
0.7,0.0015356209670440272,1187.0268761468396,304.8331706292707,0.002881970823217428,0.993521128745859,0.006478871254141071,-0.8069589852112125,-0.19910599250035085
0.725,0.0017052898514010575,1186.0899864756498,304.5208740722074,0.003091392196166208,0.9930533797572666,0.006946620242733404,-0.8067495638382637,-0.19918940406791996
0.75,0.0018869269980921826,1185.1212882971088,304.1979746793604,0.0033081082938100615,0.9925696855805989,0.007430314419401169,-0.8065328477406198,-0.19927575788151278
0.775,0.0020809248129091272,1184.120890320924,303.86450868729884,0.003532113595886,0.9920700939340843,0.007929906065915713,-0.8063088424385438,-0.19936505553584855
0.8,0.0022876736749569957,1183.0889046996106,303.5205134801943,0.0037634023955213595,0.9915546540530398,0.008445345946960198,-0.8060775536389085,-0.1994572986777775
0.825,0.0025075618751933112,1182.0254470047507,303.1660275819077,0.004001968799294523,0.9910234166800268,0.008976583319973185,-0.8058389872351354,-0.19955248900608966
0.85,0.0027409755555503888,1180.9306362025602,302.80109064784426,0.004247806727297855,0.9904764340547181,0.009523565945281885,-0.805593149307132,-0.19965062827131655
0.875,0.0029882986486572632,1179.8045946287687,302.4257434565804,0.004500909913203035,0.9899137599034781,0.010086240096521978,-0.8053400461212268,-0.19975171827552693
0.9,0.0032499128181772124,1178.6474479628178,302.04002790126344,0.004761271904328932,0.9893354494286593,0.010664550571340794,-0.8050796841301009,-0.19985576087211565
0.925,0.0035261973997765994,1177.4593252013915,301.643986980788,0.00502888606171219,0.9887415592976194,0.0112584407023806,-0.8048120699727177,-0.19996275796558632
0.95,0.003817529342740594,1176.2403586312796,301.23766479075067,0.005303745560180624,0.9881321476314614,0.011867852368538614,-0.8045372104742492,-0.20007271151132744
0.975,0.00412428315225101,1174.9906838015895,300.82110651418736,0.005585843388429565,0.9875072739934997,0.012492726006500341,-0.8042551126460002,-0.20018562351538186
1.0,0.004446830832341264,1173.71043949531,300.39435841209416,0.005875172349101263,0.9868669993774573,0.013133000622542693,-0.8039657836853286,-0.20030149603421027
1.025,0.0047855418295432274,1172.399767700235,299.95746781373583,0.006171725058867455,0.9862113861953967,0.013788613804603311,-0.8036692309755624,-0.20042033117444785
1.05,0.005140782977240387,1171.0588135792632,299.51048310674526,0.006475493948515202,0.9855404982653876,0.014459501734612428,-0.8033654620859146,-0.20054213109265479
1.075,0.005512918440741563,1169.6877254400758,299.0534537270161,0.006786471263036112,0.9848544007989165,0.015145599201083526,-0.8030544847713937,-0.20066689799506007
1.1,0.005902309663089082,1168.2866547042026,298.5864301483917,0.007104649061719034,0.984153160388041,0.015846839611958975,-0.8027363069727108,-0.20079463413729928
1.125,0.006309315311614994,1166.8557558754906,298.1094638721543,0.007430019218246344,0.9834368449922932,0.016563155007706776,-0.8024109368161835,-0.20092534182414554
1.15,0.0067342912252587595,1165.3951865079796,297.62260741631735,0.007762573420793916,0.9827055239253356,0.01729447607466444,-0.802078382613636,-0.20105902340923423
1.175,0.007177590362659354,1163.9051071731988,297.1259143047237,0.008102303172134881,0.981959267841374,0.01804073215862601,-0.801738652862295,-0.20119568129478155
1.2,0.0076395627510346155,1162.3856814268904,296.61943905595433,0.008449199789747284,0.9811981487213319,0.018801851278668097,-0.8013917562446826,-0.20133531793129603
1.225,0.008120555435860228,1160.8370757751752,296.1032371720492,0.008803254405925741,0.9804222398587892,0.019577760141210834,-0.8010377016285041,-0.20147793581728435
1.25,0.008620912431360485,1159.2594596401655,295.577365127046,0.009164457967897199,0.9796316158456905,0.020368384154309475,-0.8006764980665326,-0.20162353749894998
1.275,0.009140974671822687,1157.6530053250412,295.0418803553379,0.009532801237940916,0.9788263525578276,0.021173647442172396,-0.800308154796489,-0.2017721255698862
1.3,0.00968107996374663,1156.017887978595,294.49684123985577,0.00990827479351275,0.9780065271400988,0.021993472859901164,-0.7999326812409171,-0.20192370267076212
1.325,0.010241562938840406,1154.3542855592611,293.94230710007787,0.010290869027373889,0.9771722179915517,0.022827782008448275,-0.799550087007056,-0.20207827148900231
1.35,0.010822755007873367,1152.662378798637,293.37833817986984,0.010680574147724118,0.9763235047502119,0.02367649524978811,-0.7991603818867057,-0.2022358347584604
1.375,0.011424984315396819,1150.9423511645075,292.80499563516,0.01107738017833973,0.9754604682777034,0.024539531722296597,-0.7987635758560901,-0.2023963952590858
1.4,0.012048575695342586,1149.194388823388,292.2223415214535,0.011481276958716218,0.9745831906436649,0.02541680935633506,-0.7983596790757136,-0.20255995581658426
1.425,0.012693850627509405,1147.4186806025907,291.6304387811877,0.011892254144215828,0.9736917551099664,0.0263082448900336,-0.797948701890214,-0.20272651930207192
1.45,0.013361127194946627,1145.6154179518333,291.0293512309353,0.012310301206220117,0.9727862461147306,0.027213753885269403,-0.7975306548282097,-0.20289608863172298
1.475,0.014050720042244468,1143.7847949043946,290.41914354845574,0.012735407432287616,0.9718667492561648,0.02813325074383524,-0.7971055486021422,-0.2030686667664109
1.5,0.014762940334739618,1141.9270080378337,289.7998812596021,0.013167561926316722,0.9709333512762066,0.029066648723793397,-0.7966733941081131,-0.20324425671134297
1.525,0.015498095718644805,1140.0422564342825,289.17163072508504,0.013606753608713938,0.9699861400439896,0.030013859956010348,-0.796234202425716,-0.20342286151568906
1.55,0.016256490282110396,1138.1307416403247,288.53445912709907,0.014052971216567569,0.9690252045391328,0.030974795460867184,-0.7957879848178623,-0.20360448427220326
