A,w,alpha,NEC_pass,WEC_pass,SEC_pass,DEC_pass,causality_pass,center_regular,strict_accept,regularizing_accept,min_NEC_r,min_NEC_t,min_SEC,min_DEC_r,min_DEC_t,min_f,max_f,min_c_r2,max_c_r2,min_c_t2,max_c_t2
0.5,-0.8,-0.5,False,False,False,False,False,True,False,False,0.00015420200462606005,-0.030968468669233862,-1.5073796760134672,0.00015420200462606005,-0.030968468669233862,0.8424202923917217,1.0,-0.8,-0.8,-1.2799024232663503,219166.58341511287
0.5,-0.8,0.0,True,True,False,True,False,True,False,True,0.00015420200462606005,0.00015420200462606005,-1.4000000000000001,0.00015420200462606005,0.00015420200462606005,0.8424202923917217,1.0,-0.8,-0.8,-0.8000004151866991,-0.7999957332423091
0.5,-0.8,0.5,True,True,False,True,False,True,False,True,0.00015420200462606005,0.0005292879618245846,-1.3999999999000001,0.00015420200462606005,0.0005292879618245846,0.8424202923917217,1.0,-0.8,-0.8,-219168.18340657934,-0.3200975767336638
0.5,-0.5,-0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,1.0419054366625686e-05,-0.6775480877342618,0.00038550501156515033,1.0419054366625686e-05,0.8424202923917217,1.0,-0.5,-0.5,-0.9799024232663083,219166.88341084612
0.5,-0.5,0.0,True,True,False,True,False,True,False,True,0.00038550501156515033,0.00038550501156515033,-0.5,0.00038550501156515033,0.00038550501156515033,0.8424202923917217,1.0,-0.5,-0.5,-0.5,-0.5
0.5,-0.5,0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,0.000760590968763675,-0.4999999999,0.00038550501156515033,0.000760590968763675,0.8424202923917217,1.0,-0.5,-0.5,-219167.88341084612,-0.020097576733691842
0.5,-0.3,-0.5,True,True,False,True,False,True,False,True,0.0005397070161912104,0.00016462105899268584,-0.21033457973430436,0.0005397070161912104,0.00016462105899268584,0.8424202923917217,1.0,-0.3,-0.3,-0.7799024232662801,219167.08341511287
0.5,-0.3,0.0,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0005397070161912104,7.710100231303008e-05,0.0005397070161912104,0.0005397070161912104,0.8424202923917217,1.0,-0.3,-0.3,-0.3000000834247182,-0.29999573324230916
0.5,-0.3,0.5,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0009147929733897351,0.0008272729167100794,0.0005397070161912104,0.0006272270728708662,0.8424202923917217,1.0,-0.3,-0.3,-219167.68340657934,0.17990242326630113
0.5,0.0,-0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.000395924065931776,2.0838108733251372e-05,0.0007710100231303007,0.000395924065931776,0.8424202923917217,1.0,0.0,0.0,-0.47990242326630816,219167.38341585532
0.5,0.0,0.0,True,True,True,True,True,True,True,True,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.8424202923917217,1.0,0.0,0.0,-0.0,-0.0
0.5,0.0,0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.0011460959803288252,0.00152118193752735,0.0007710100231303007,0.000395924065931776,0.8424202923917217,1.0,0.0,0.0,-219167.38341585532,0.47990242326630816
0.5,0.3,-0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0006272270728708662,0.000714747129550522,0.0005397070161912104,0.0006272270728708662,0.8424202923917217,1.0,0.3,0.3,-0.17990242326630113,219167.68340657934
0.5,0.3,0.0,True,True,True,True,True,True,True,True,0.0010023130300693909,0.0010023130300693909,0.0014649190439475711,0.0005397070161912104,0.0005397070161912104,0.8424202923917217,1.0,0.3,0.3,0.29999573324230916,0.3000000834247182
0.5,0.3,0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0013773989872679156,0.0022150909583446205,0.0005397070161912104,0.00016462105899268584,0.8424202923917217,1.0,0.3,0.3,-219167.08341511287,0.7799024232662801
1.0,-0.8,-0.5,False,False,False,False,False,True,False,False,0.00015420200462606005,-0.030968468669233862,-1.5073796760134672,0.00015420200462606005,-0.030968468669233862,0.6848405847834433,1.0,-0.8,-0.8,-1.2799024232663503,219166.58341511287
1.0,-0.8,0.0,True,True,False,True,False,True,False,True,0.00015420200462606005,0.00015420200462606005,-1.4000000000000001,0.00015420200462606005,0.00015420200462606005,0.6848405847834433,1.0,-0.8,-0.8,-0.8000004151866991,-0.7999957332423091
1.0,-0.8,0.5,True,True,False,True,False,True,False,True,0.00015420200462606005,0.0005292879618245846,-1.3999999999000001,0.00015420200462606005,0.0005292879618245846,0.6848405847834433,1.0,-0.8,-0.8,-219168.18340657934,-0.3200975767336638
1.0,-0.5,-0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,1.0419054366625686e-05,-0.6775480877342618,0.00038550501156515033,1.0419054366625686e-05,0.6848405847834433,1.0,-0.5,-0.5,-0.9799024232663083,219166.88341084612
1.0,-0.5,0.0,True,True,False,True,False,True,False,True,0.00038550501156515033,0.00038550501156515033,-0.5,0.00038550501156515033,0.00038550501156515033,0.6848405847834433,1.0,-0.5,-0.5,-0.5,-0.5
1.0,-0.5,0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,0.000760590968763675,-0.4999999999,0.00038550501156515033,0.000760590968763675,0.6848405847834433,1.0,-0.5,-0.5,-219167.88341084612,-0.020097576733691842
1.0,-0.3,-0.5,True,True,False,True,False,True,False,True,0.0005397070161912104,0.00016462105899268584,-0.21033457973430436,0.0005397070161912104,0.00016462105899268584,0.6848405847834433,1.0,-0.3,-0.3,-0.7799024232662801,219167.08341511287
1.0,-0.3,0.0,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0005397070161912104,7.710100231303008e-05,0.0005397070161912104,0.0005397070161912104,0.6848405847834433,1.0,-0.3,-0.3,-0.3000000834247182,-0.29999573324230916
1.0,-0.3,0.5,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0009147929733897351,0.0008272729167100794,0.0005397070161912104,0.0006272270728708662,0.6848405847834433,1.0,-0.3,-0.3,-219167.68340657934,0.17990242326630113
1.0,0.0,-0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.000395924065931776,2.0838108733251372e-05,0.0007710100231303007,0.000395924065931776,0.6848405847834433,1.0,0.0,0.0,-0.47990242326630816,219167.38341585532
1.0,0.0,0.0,True,True,True,True,True,True,True,True,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.6848405847834433,1.0,0.0,0.0,-0.0,-0.0
1.0,0.0,0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.0011460959803288252,0.00152118193752735,0.0007710100231303007,0.000395924065931776,0.6848405847834433,1.0,0.0,0.0,-219167.38341585532,0.47990242326630816
1.0,0.3,-0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0006272270728708662,0.000714747129550522,0.0005397070161912104,0.0006272270728708662,0.6848405847834433,1.0,0.3,0.3,-0.17990242326630113,219167.68340657934
1.0,0.3,0.0,True,True,True,True,True,True,True,True,0.0010023130300693909,0.0010023130300693909,0.0014649190439475711,0.0005397070161912104,0.0005397070161912104,0.6848405847834433,1.0,0.3,0.3,0.29999573324230916,0.3000000834247182
1.0,0.3,0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0013773989872679156,0.0022150909583446205,0.0005397070161912104,0.00016462105899268584,0.6848405847834433,1.0,0.3,0.3,-219167.08341511287,0.7799024232662801
1.5,-0.8,-0.5,False,False,False,False,False,True,False,False,0.00015420200462606005,-0.030968468669233862,-1.5073796760134672,0.00015420200462606005,-0.030968468669233862,0.527260877175165,1.0,-0.8,-0.8,-1.2799024232663503,219166.58341511287
1.5,-0.8,0.0,True,True,False,True,False,True,False,True,0.00015420200462606005,0.00015420200462606005,-1.4000000000000001,0.00015420200462606005,0.00015420200462606005,0.527260877175165,1.0,-0.8,-0.8,-0.8000004151866991,-0.7999957332423091
1.5,-0.8,0.5,True,True,False,True,False,True,False,True,0.00015420200462606005,0.0005292879618245846,-1.3999999999000001,0.00015420200462606005,0.0005292879618245846,0.527260877175165,1.0,-0.8,-0.8,-219168.18340657934,-0.3200975767336638
1.5,-0.5,-0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,1.0419054366625686e-05,-0.6775480877342618,0.00038550501156515033,1.0419054366625686e-05,0.527260877175165,1.0,-0.5,-0.5,-0.9799024232663083,219166.88341084612
1.5,-0.5,0.0,True,True,False,True,False,True,False,True,0.00038550501156515033,0.00038550501156515033,-0.5,0.00038550501156515033,0.00038550501156515033,0.527260877175165,1.0,-0.5,-0.5,-0.5,-0.5
1.5,-0.5,0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,0.000760590968763675,-0.4999999999,0.00038550501156515033,0.000760590968763675,0.527260877175165,1.0,-0.5,-0.5,-219167.88341084612,-0.020097576733691842
1.5,-0.3,-0.5,True,True,False,True,False,True,False,True,0.0005397070161912104,0.00016462105899268584,-0.21033457973430436,0.0005397070161912104,0.00016462105899268584,0.527260877175165,1.0,-0.3,-0.3,-0.7799024232662801,219167.08341511287
1.5,-0.3,0.0,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0005397070161912104,7.710100231303008e-05,0.0005397070161912104,0.0005397070161912104,0.527260877175165,1.0,-0.3,-0.3,-0.3000000834247182,-0.29999573324230916
1.5,-0.3,0.5,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0009147929733897351,0.0008272729167100794,0.0005397070161912104,0.0006272270728708662,0.527260877175165,1.0,-0.3,-0.3,-219167.68340657934,0.17990242326630113
1.5,0.0,-0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.000395924065931776,2.0838108733251372e-05,0.0007710100231303007,0.000395924065931776,0.527260877175165,1.0,0.0,0.0,-0.47990242326630816,219167.38341585532
1.5,0.0,0.0,True,True,True,True,True,True,True,True,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.0007710100231303007,0.527260877175165,1.0,0.0,0.0,-0.0,-0.0
1.5,0.0,0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.0011460959803288252,0.00152118193752735,0.0007710100231303007,0.000395924065931776,0.527260877175165,1.0,0.0,0.0,-219167.38341585532,0.47990242326630816
1.5,0.3,-0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0006272270728708662,0.000714747129550522,0.0005397070161912104,0.0006272270728708662,0.527260877175165,1.0,0.3,0.3,-0.17990242326630113,219167.68340657934
1.5,0.3,0.0,True,True,True,True,True,True,True,True,0.0010023130300693909,0.0010023130300693909,0.0014649190439475711,0.0005397070161912104,0.0005397070161912104,0.527260877175165,1.0,0.3,0.3,0.29999573324230916,0.3000000834247182
1.5,0.3,0.5,True,True,True,True,False,True,False,True,0.0010023130300693909,0.0013773989872679156,0.0022150909583446205,0.0005397070161912104,0.00016462105899268584,0.527260877175165,1.0,0.3,0.3,-219167.08341511287,0.7799024232662801
2.0,-0.8,-0.5,False,False,False,False,False,True,False,False,0.00015420200462606005,-0.030968468669233862,-1.5073796760134672,0.00015420200462606005,-0.030968468669233862,0.36968116956688657,1.0,-0.8,-0.8,-1.2799024232663503,219166.58341511287
2.0,-0.8,0.0,True,True,False,True,False,True,False,True,0.00015420200462606005,0.00015420200462606005,-1.4000000000000001,0.00015420200462606005,0.00015420200462606005,0.36968116956688657,1.0,-0.8,-0.8,-0.8000004151866991,-0.7999957332423091
2.0,-0.8,0.5,True,True,False,True,False,True,False,True,0.00015420200462606005,0.0005292879618245846,-1.3999999999000001,0.00015420200462606005,0.0005292879618245846,0.36968116956688657,1.0,-0.8,-0.8,-219168.18340657934,-0.3200975767336638
2.0,-0.5,-0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,1.0419054366625686e-05,-0.6775480877342618,0.00038550501156515033,1.0419054366625686e-05,0.36968116956688657,1.0,-0.5,-0.5,-0.9799024232663083,219166.88341084612
2.0,-0.5,0.0,True,True,False,True,False,True,False,True,0.00038550501156515033,0.00038550501156515033,-0.5,0.00038550501156515033,0.00038550501156515033,0.36968116956688657,1.0,-0.5,-0.5,-0.5,-0.5
2.0,-0.5,0.5,True,True,False,True,False,True,False,True,0.00038550501156515033,0.000760590968763675,-0.4999999999,0.00038550501156515033,0.000760590968763675,0.36968116956688657,1.0,-0.5,-0.5,-219167.88341084612,-0.020097576733691842
2.0,-0.3,-0.5,True,True,False,True,False,True,False,True,0.0005397070161912104,0.00016462105899268584,-0.21033457973430436,0.0005397070161912104,0.00016462105899268584,0.36968116956688657,1.0,-0.3,-0.3,-0.7799024232662801,219167.08341511287
2.0,-0.3,0.0,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0005397070161912104,7.710100231303008e-05,0.0005397070161912104,0.0005397070161912104,0.36968116956688657,1.0,-0.3,-0.3,-0.3000000834247182,-0.29999573324230916
2.0,-0.3,0.5,True,True,True,True,False,True,False,True,0.0005397070161912104,0.0009147929733897351,0.0008272729167100794,0.0005397070161912104,0.0006272270728708662,0.36968116956688657,1.0,-0.3,-0.3,-219167.68340657934,0.17990242326630113
2.0,0.0,-0.5,True,True,True,True,False,True,False,True,0.0007710100231303007,0.000395924065931776,2.0838108733251372e-05,0.0007710100231303007,0.000395924065931776,0.36968116956688657,1.0,0.0,0.0,-0.47990242326630816,219167.38341585532
