source,M_Msun,Rs_km,rho,rho_rho_Pl,nB_fm3,nB_over_n0,pF_MeV,EF_MeV,EF_GeV,TF_K,mu_N_MeV,mu_q_MeV,mu_q_GeV,deconf,mu_q_Lambda
Theoretical min.,1.0,2.954007736491099,1.8420177908922636e+19,3.5733693989340117e-78,10.99759716792394,68.73498229952463,1357.5611653502885,711.4207990177661,0.711420799017766,8255695554249.306,1650.9862195379335,550.3287398459778,0.5503287398459777,True,2.536077142147363
TOV upper limit,3.0,8.862023209473296,2.0466864343247375e+18,3.9704104432600134e-79,1.221955240880438,7.637220255502737,652.6473357974928,204.4327107548422,0.20443271075484218,2372343096592.1724,1143.9981312749117,381.33271042497057,0.3813327104249706,True,1.7572935964284357
Cyg X-1,10.0,29.540077364910992,1.8420177908922634e+17,3.573369398934011e-80,0.10997597167923938,0.687349822995246,292.47768684707717,44.47033936899254,0.04447033936899254,516056859078.95605,984.03575988901,328.0119199630033,0.32801191996300333,True,1.5115756680322734
GW150914-class,28.000000000000004,82.71221662175077,2.349512488382989e+16,4.557869131293381e-81,0.014027547408066249,0.08767217130041405,147.22697369104858,11.465052818862212,0.011465052818862212,133046413201.0154,951.0304733388668,317.01015777962226,0.31701015777962227,True,1.4608763031318999
GW150914 remnant,62.0,183.1484796624481,4791929736972592.0,9.295966178288276e-82,0.0028609774110103917,0.01788110881881495,86.6625797736752,3.9882780949489542,0.0039882780949489546,46282045426.61638,943.5536986149506,314.51789953831684,0.3145178995383168,True,1.4493912421120592
IMBH,1000.0,2954.007736491099,18420177908922.637,3.573369398934012e-84,1.0997597167923941e-05,6.873498229952464e-05,13.57561165350289,0.09807066644113507,9.807066644113507e-05,1138062825.9086456,939.6634911864412,313.22116372881374,0.31322116372881376,True,1.4434155010544412
Sgr A$^*$,4300000.0,12702233.266911726,996223.7917210727,1.9325956727604173e-91,5.947862178433715e-13,3.717413861521072e-12,0.051338964203937694,1.4026108078607194e-06,1.4026108078607193e-09,16276.622537301719,939.5654219226108,313.1884739742036,0.3131884739742036,True,1.4432648570239797
M87$^*$,6500000000.0,19201050287.192146,0.43598054222302085,8.457679050731386e-98,2.602981578206849e-19,1.6268634863792806e-18,0.000389777861210137,8.083095328229172e-11,8.083095328229171e-14,0.9380042621465223,939.5654205200808,313.1884735066936,0.3131884735066936,True,1.4432648548695557
TON 618,40000000000.0,118160309459.64397,0.011512611193076644,2.2333558743337566e-99,6.87349822995246e-21,4.295936393720288e-20,0.00011606984694456909,7.2602652648765014e-12,7.260265264876501e-15,0.08425187983351996,939.5654205200071,313.188473506669,0.313188473506669,True,1.4432648548694424
Phoenix A (cand.),100000000000.0,295400773649.10986,0.0018420177908922638,3.573369398934012e-100,1.0997597167923943e-21,6.873498229952465e-21,6.301240746036257e-05,2.097409965408767e-12,2.0974099654087667e-15,0.024339431951905768,939.5654205200021,313.1884735066674,0.3131884735066674,True,1.443264854869435
