mode_index,omega_squared,omega,status
0,-0.0006597346211191553,0.025685299708571734,goldstone
1,16.068878765127717,4.008600599352312,stable
2,63.96677225249233,7.997922996159211,stable
3,143.76952570383006,11.990393058771263,stable
4,255.4761351947676,15.983620841185129,stable
5,399.071400323543,19.976771519030372,stable
6,574.535913799249,23.969478796987826,stable
7,781.845332180167,27.961497316491602,stable
8,1020.982602115624,31.952818375154703,stable
9,1291.9174422152007,35.94325308337019,stable
10,1594.6230908838493,39.932732073874554,stable
11,1929.135300508812,43.9219227779114,stable
12,2296.4472672521842,47.92126111917532,stable
13,2699.9107939509545,51.96066583436893,stable
14,3149.7489258614264,56.12262401083387,stable
15,3663.647010031154,60.528067952241415,stable
16,4259.074757235106,65.261587149219,stable
17,4948.750766442909,70.34735792084098,stable
18,5744.036573598447,75.7894225706889,stable
19,6654.196118665435,81.57325614847942,stable
20,7690.227198990031,87.69394049186084,stable
21,8861.534875979158,94.13572582170468,stable
22,10181.102787216618,100.90145086774827,stable
23,11657.858135647188,107.97156169865835,stable
24,13313.126666082553,115.38252322636454,stable
25,15258.217421844178,123.52415723996735,stable
26,18196.74236618461,134.89530149780833,stable
27,32928.370634980965,181.46176080646018,stable
28,35354.51801775837,188.02797137064042,stable
29,121337.04508775624,348.3346739670862,stable
